libgssapi-krb5-2	1.10+dfsg~beta1-2
libgssapi3-heimdal	1.6~git20120311.dfsg.1-2
libhcrypto4-heimdal	1.6~git20120311.dfsg.1-2
libheimbase1-heimdal	1.6~git20120311.dfsg.1-2
libheimntlm0-heimdal	1.6~git20120311.dfsg.1-2
libhx509-5-heimdal	1.6~git20120311.dfsg.1-2
libidn11	1.23-2
libio-string-perl	1.08-2
libisc83	1:9.8.1.dfsg.P1-4
libisccc80	1:9.8.1.dfsg.P1-4
libisccfg82	1:9.8.1.dfsg.P1-4
libk5crypto3	1.10+dfsg~beta1-2
libkeyutils1	1.5.2-2
libklibc	1.5.25-1ubuntu2
libkrb5-26-heimdal	1.6~git20120311.dfsg.1-2
libkrb5-3	1.10+dfsg~beta1-2
libkrb5support0	1.10+dfsg~beta1-2
libldap-2.4-2	2.4.28-1.1ubuntu4
liblocale-gettext-perl	1.05-7build1
liblockfile-bin	1.09-3
liblockfile1	1.09-3
liblua5.1-0	5.1.4-12ubuntu1
liblwres80	1:9.8.1.dfsg.P1-4
liblzma5	5.1.1alpha+20110809-3
libmagic1	5.09-2
libmount1	2.20.1-1ubuntu3
libmpc2	0.9-4
libmpfr4	3.1.0-3ubuntu2
libncurses5	5.9-4
libncursesw5	5.9-4
libnetfilter-conntrack3	0.9.1-1ubuntu1
libnettle4	2.4-1
libnewt0.52	0.52.11-2ubuntu10
libnfnetlink0	1.0.0-1
libnih-dbus1	1.0.3-4ubuntu9
libnih1	1.0.3-4ubuntu9
libnl-3-200	3.2.3-2ubuntu2
libnl-genl-3-200	3.2.3-2ubuntu2
libnspr4	4.8.9-1ubuntu2
libnss3	3.13.1.with.ckbi.1.88-1ubuntu6
libnss3-1d	3.13.1.with.ckbi.1.88-1ubuntu6
libp11-kit0	0.12-2ubuntu1
libpam-cap	1:2.22-1ubuntu3
libpam-modules	1.1.3-7ubuntu2
libpam-modules-bin	1.1.3-7ubuntu2
libpam-runtime	1.1.3-7ubuntu2
libpam0g	1.1.3-7ubuntu2
libparse-debianchangelog-perl	1.2.0-1ubuntu1
libpci3	1:3.1.8-2ubuntu5
libpciaccess0	0.12.902-1
libpcre3	8.12-4
libperl5.14	5.14.2-6ubuntu2.3
libpipeline1	1.2.1-1
libplymouth2	0.8.2-2ubuntu30
libpng12-0	1.2.46-3ubuntu4
libpopt0	1.16-3ubuntu1
libpython2.7	2.7.3-0ubuntu3.1
libquadmath0	4.6.3-1ubuntu5
libreadline-dev	6.2-8
libreadline5	5.2-11
libreadline6	6.2-8
libreadline6-dev	6.2-8
libroken18-heimdal	1.6~git20120311.dfsg.1-2
librtmp0	2.4~20110711.gitc28f1bab-1
libruby1.8	1.8.7.352-2ubuntu1.2
libsasl2-2	2.1.25.dfsg1-3
libsasl2-modules	2.1.25.dfsg1-3
libselinux1	2.1.0-4.1ubuntu1
libsigc++-2.0-0c2a	2.2.10-0ubuntu2
libslang2	2.2.4-3ubuntu1
libsqlite3-0	3.7.9-2ubuntu1
libss2	1.42-1ubuntu2
libssl-dev	1.0.1-4ubuntu5.9
libssl-doc	1.0.1-4ubuntu5.9
libssl1.0.0	1.0.1-4ubuntu5.9
libstdc++6	4.6.3-1ubuntu5
libstdc++6-4.6-dev	4.6.3-1ubuntu5
libsub-name-perl	0.05-1build2
libswitch-perl	2.16-2
libtasn1-3	2.10-1ubuntu1
libtext-charwidth-perl	0.04-7build1
libtext-iconv-perl	1.7-5
libtext-wrapi18n-perl	0.06-7
libtimedate-perl	1.2000-1
libtinfo-dev	5.9-4
libtinfo5	5.9-4
libudev0	175-0ubuntu9
libusb-0.1-4	2:0.1.12-20
libuuid1	2.20.1-1ubuntu3
libwind0-heimdal	1.6~git20120311.dfsg.1-2
libwrap0	7.6.q-21
libx11-6	2:1.4.99.1-0ubuntu2
libx11-data	2:1.4.99.1-0ubuntu2
libxapian22	1.2.8-1
libxau6	1:1.0.6-4
libxcb1	1.8.1-1
libxdmcp6	1:1.1.0-4
libxext6	2:1.3.0-3build1
libxml2	2.7.8.dfsg-5.1ubuntu4.4
libxml2-dev	2.7.8.dfsg-5.1ubuntu4.4
libxmuu1	2:1.1.0-3
libxslt1-dev	1.1.26-8ubuntu1.3
libxslt1.1	1.1.26-8ubuntu1.3
libyaml-0-2	0.1.4-2
libyaml-dev	0.1.4-2
linux-firmware	1.79
linux-generic-lts-raring	3.8.0.23.22
linux-headers-3.8.0-23	3.8.0-23.34~precise1
linux-headers-3.8.0-23-generic	3.8.0-23.34~precise1
linux-headers-generic-lts-raring	3.8.0.23.22
linux-image-3.2.0-23-virtual	3.2.0-23.36
linux-image-3.8.0-23-generic	3.8.0-23.34~precise1
linux-image-generic-lts-raring	3.8.0.23.22
linux-image-virtual	3.2.0.23.25
linux-libc-dev	3.2.0-45.70
locales	2.13+git20120306-3
lockfile-progs	0.1.16
login	1:4.1.4.2+svn3283-3ubuntu5
logrotate	3.7.8-6ubuntu5
lsb-base	4.0-0ubuntu20
lsb-release	4.0-0ubuntu20
lsof	4.81.dfsg.1-1build1
lxc	0.7.5-3ubuntu67
make	3.81-8.1ubuntu1.1
makedev	2.3.1-89ubuntu2
man-db	2.6.1-2
manpages	3.35-0.1ubuntu1
manpages-dev	3.35-0.1ubuntu1
mawk	1.3.3-17
mime-support	3.51-1ubuntu1
mktemp	8.13-3ubuntu3
module-init-tools	3.16-1ubuntu2
mount	2.20.1-1ubuntu3
mountall	2.36
multiarch-support	2.15-0ubuntu10
nano	2.2.6-1
ncurses-base	5.9-4
ncurses-bin	5.9-4
ncurses-term	5.9-4
net-tools	1.60-24.1ubuntu2
netbase	4.47ubuntu1
netcat	1.10-39
netcat-openbsd	1.89-4ubuntu1
netcat-traditional	1.10-39
ntpdate	1:4.2.6.p3+dfsg-1ubuntu3
openssh-client	1:5.9p1-5ubuntu1
openssh-server	1:5.9p1-5ubuntu1
openssl	1.0.1-4ubuntu3
os-prober	1.51ubuntu3
passwd	1:4.1.4.2+svn3283-3ubuntu5
patch	2.6.1-3
pciutils	1:3.1.8-2ubuntu5
perl	5.14.2-6ubuntu2.3
perl-base	5.14.2-6ubuntu2.3
perl-modules	5.14.2-6ubuntu2.3
plymouth	0.8.2-2ubuntu30
plymouth-theme-ubuntu-text	0.8.2-2ubuntu30
procps	1:3.2.8-11ubuntu6
psmisc	22.15-2ubuntu1
python	2.7.3-0ubuntu2
python-apt	0.8.3ubuntu7
python-apt-common	0.8.3ubuntu7
python-boto	2.2.2-0ubuntu2
python-chardet	2.0.1-2build1
python-crypto	2.4.1-1ubuntu0.1
python-debian	0.1.21ubuntu1
python-m2crypto	0.21.1-2ubuntu2
python-minimal	2.7.3-0ubuntu2
python-paramiko	1.7.7.1-2ubuntu1
python-xapian	1.2.8-1
python-yaml	3.10-2
python2.7	2.7.3-0ubuntu3.1
python2.7-minimal	2.7.3-0ubuntu3.1
readline-common	6.2-8
resolvconf	1.63ubuntu11
rsync	3.0.9-1ubuntu1
rsyslog	5.8.6-1ubuntu8
sed	4.2.1-9
sensible-utils	0.0.6ubuntu2
sgml-base	1.26+nmu1ubuntu1
shared-mime-info	1.0-0ubuntu4
ssh	1:5.9p1-5ubuntu1
ssh-import-id	2.10-0ubuntu1
sudo	1.8.3p1-1ubuntu3
sysv-rc	2.88dsf-13.10ubuntu11
sysvinit-utils	2.88dsf-13.10ubuntu11
tar	1.26-4ubuntu1
tasksel	2.88ubuntu9
tasksel-data	2.88ubuntu9
tcl8.5	8.5.11-1ubuntu1
tcpd	7.6.q-21
telnet	0.17-36build1
traceroute	1:2.0.18-1
tzdata	2012b-1
ubuntu-keyring	2011.11.21
ubuntu-minimal	1.267
ucf	3.0025+nmu2ubuntu1
udev	175-0ubuntu9
update-inetd	4.41
upstart	1.5-0ubuntu5
ureadahead	0.100.0-12
util-linux	2.20.1-1ubuntu3
uuid-runtime	2.20.1-1ubuntu3
vim-common	2:7.3.429-2ubuntu2.1
vim-nox	2:7.3.429-2ubuntu2.1
vim-runtime	2:7.3.429-2ubuntu2.1
vim-tiny	2:7.3.429-2ubuntu2.1
w3m	0.5.3-5ubuntu1
wget	1.13.4-2ubuntu1
whiptail	0.52.11-2ubuntu10
whois	5.0.15ubuntu2
wireless-regdb	2011.04.28-1ubuntu3
xauth	1:1.0.6-1
xkb-data	2.5-1ubuntu1
xml-core	0.13
xz-lzma	5.1.1alpha+20110809-3
xz-utils	5.1.1alpha+20110809-3
zlib1g	1:1.2.3.4.dfsg-3ubuntu4
zlib1g-dev	1:1.2.3.4.dfsg-3ubuntu4
